image,f1_mic,f2_mic,f3_mic,f4_mic,f5_mic,f6_mic,f7_mic,f8_mic,f9_mic,f10_mic,f11_mic,f12_mic,f13_mic,f14_mic,f15_mic,f16_mic,f1_mac,f2_mac,f3_mac,f4_mac,f5_mac,f6_mac,f7_mac,f8_mac,f9_mac,f10_mac,f11_mac,f12_mac,f13_mac,f14_mac,f15_mac,f16_mac,label
image41.png,1.7129749497174995,1.581208799633105,1.5830752008153535,1.5045971170158774,1.622118450856553,1.5002836051165955,1.3828436243889362,1.4841695871816751,1.4917566554791237,1.7319338174109657,1.387150728338981,2.3653135479225345,1.526545320238332,1.6350728412476396,1.4293875033238228,1.4559009235573563,201.0,225.0,278.0,244.0,215.0,236.0,258.0,276.0,246.0,217.0,291.0,208.0,236.0,215.0,240.0,269.0,114.0
image42.png,1.7129749497174995,1.581208799633105,1.5830752008153535,1.5045971170158774,1.622118450856553,1.5002836051165955,1.3828436243889362,1.4841695871816751,1.4917566554791237,1.7319338174109657,1.387150728338981,2.3653135479225345,1.526545320238332,1.6350728412476396,1.4293875033238228,1.4559009235573563,201.0,225.0,278.0,244.0,215.0,236.0,258.0,276.0,246.0,217.0,291.0,208.0,236.0,215.0,240.0,269.0,119.0
image43.png,5.826309099254543,1.560459306207208,1.6666896800482243,1.557684691730753,2.0201879749671305,1.6191319724374023,1.458892238337101,1.706149859089084,1.6138565259694126,2.270449456527695,1.4810244642924002,1.9492359447162815,1.4349574930107067,1.6584937343561705,1.455348843615773,1.5000170854417483,174.0,253.0,288.0,260.0,207.0,280.0,255.0,280.0,242.0,188.0,298.0,191.0,251.0,204.0,249.0,251.0,115.0
image44.png,5.826309099254543,1.560459306207208,1.6666896800482243,1.557684691730753,2.0201879749671305,1.6191319724374023,1.458892238337101,1.706149859089084,1.6138565259694126,2.270449456527695,1.4810244642924002,1.9492359447162815,1.4349574930107067,1.6584937343561705,1.455348843615773,1.5000170854417483,174.0,253.0,288.0,260.0,207.0,280.0,255.0,280.0,242.0,188.0,298.0,191.0,251.0,204.0,249.0,251.0,115.0
image45.png,5.826309099254543,1.560459306207208,1.6666896800482243,1.557684691730753,2.0201879749671305,1.6191319724374023,1.458892238337101,1.706149859089084,1.6138565259694126,2.270449456527695,1.4810244642924002,1.9492359447162815,1.4349574930107067,1.6584937343561705,1.455348843615773,1.5000170854417483,174.0,253.0,288.0,260.0,207.0,280.0,255.0,280.0,242.0,188.0,298.0,191.0,251.0,204.0,249.0,251.0,117.0
image46.png,1.6584054714941543,1.510801319458652,1.4759301207936038,1.4461479771049421,1.6095462489691235,1.4231134707741506,1.4638606727239412,1.446058977022885,1.515200061571467,1.5792783614002661,1.3783452406817147,1.8321257916181741,1.4048348275583802,1.5280840746709097,1.4004544156579604,1.4113833799381403,187.0,251.0,260.0,298.0,209.0,265.0,274.0,270.0,264.0,188.0,308.0,179.0,235.0,184.0,249.0,233.0,116.0
image47.png,1.6584054714941543,1.510801319458652,1.4759301207936038,1.4461479771049421,1.6095462489691235,1.4231134707741506,1.4638606727239412,1.446058977022885,1.515200061571467,1.5792783614002661,1.3783452406817147,1.8321257916181741,1.4048348275583802,1.5280840746709097,1.4004544156579604,1.4113833799381403,187.0,251.0,260.0,298.0,209.0,265.0,274.0,270.0,264.0,188.0,308.0,179.0,235.0,184.0,249.0,233.0,113.0
image48.png,1.6584054714941543,1.510801319458652,1.4759301207936038,1.4461479771049421,1.6095462489691235,1.4231134707741506,1.4638606727239412,1.446058977022885,1.515200061571467,1.5792783614002661,1.3783452406817147,1.8321257916181741,1.4048348275583802,1.5280840746709097,1.4004544156579604,1.4113833799381403,187.0,251.0,260.0,298.0,209.0,265.0,274.0,270.0,264.0,188.0,308.0,179.0,235.0,184.0,249.0,233.0,113.0
image49.png,5.826309099254543,1.560459306207208,1.6666896800482243,1.557684691730753,2.0201879749671305,1.6191319724374023,1.458892238337101,1.706149859089084,1.6138565259694126,2.270449456527695,1.4810244642924002,1.9492359447162815,1.4349574930107067,1.6584937343561705,1.455348843615773,1.5000170854417483,174.0,253.0,288.0,260.0,207.0,280.0,255.0,280.0,242.0,188.0,298.0,191.0,251.0,204.0,249.0,251.0,121.0
image50.png,5.826309099254543,1.560459306207208,1.6666896800482243,1.557684691730753,2.0201879749671305,1.6191319724374023,1.458892238337101,1.706149859089084,1.6138565259694126,2.270449456527695,1.4810244642924002,1.9492359447162815,1.4349574930107067,1.6584937343561705,1.455348843615773,1.5000170854417483,174.0,253.0,288.0,260.0,207.0,280.0,255.0,280.0,242.0,188.0,298.0,191.0,251.0,204.0,249.0,251.0,118.0
